Table V2023R1,V9.0 (P12),V11 (P22),Abbreviation,Description,Module,Activity code
TABLAN,Modification,,TLA,Language table,Supervisor,
TABLINCFG,,,TLP,Product lines,Common Data,
TABLOCTYP,,,TLO,Location type table,Stock,
TABMAT,Modification,Modification,TMA,ID numbers,Common Data,
TABMODELIV,,,TMD,Delivery mode table,Common Data,
TABMSG,,,TMS,Message table,Common Data,
TABPACKAGE,,,TPA,Packaging table,Common Data,
TABPAM,Modification,,TAM,Payment method table,Common Data,
TABPAYTERM,,,TPT,Payment term table,Common Data,
TABPAYTYP,Modification,Modification,TPY,Payment transactions,Common Data,
TABPIVTYP,Modification,Modification,TPV,Supp invoice type table,Common Data,
TABPLACE,,,TPC,Transit area,Common Data,
TABPLACETIME,,,TPCT,Transport lead time,Common Data,
TABPNHTYP,,,TPN,Return type table,Common Data,TRSNE
TABPRECOD,,,PRC,Preparation code,Stock,
TABPRTMOD,Modification,Modification,TPM,Print template table,Common Data,
TABRATVAT,,,TRA,Tax rates,Common Data,
TABREOPOL,,,TRP,Reorder policies table,Common Data,
TABROUALT,,,TRO,BOM routings,Common Data,
TABROUND,,,TRN,Roundings,Common Data,
TABSAFSTO,,,TSA,Safety stock coefficients,Stock,
TABSCA,,,TSR,Rejects,Common Data,
TABSDHTYP,,,TSD,Table types deliveries,Common Data,
TABSGHTYP,,,TSG,Stock change type,Common Data,TRSNE
TABSIVTYP,Modification,Modification,TSV,Customer invoice type table,Common Data,
TABSOHTYP,Modification,Modification,TSO,Order type table,Sales,
TABSQHTYP,Modification,Modification,TSQ,Quote type table,Sales,
TABSRHTYP,,,TRE,Return type table,Sales,
TABSTASTO,,,TST,Stock status report,Common Data,
TABSTORUL,Modification,Modification,SRU,Stock management rules,Common Data,
TABSUBDIV,,,ATU,Geographic subdivisions,Supervisor,
TABTNHTYP,,,TTN,Transport note type,Common Data,TRSNE
TABUNAVAIL,,,TUV,Unavailable periods,Common Data,
TABUNIT,,,TUN,Table of units of measure,Supervisor,
TABUNNBR,New table,New table,TUNNB,Table of UN numbers,Common Data,
TABVAC,,,TVC,Tax determination table,Common Data,
TABVACBPR,,,TVB,BP tax rule table,Common Data,
TABVACITM,Modification,,TVI,Tax level table,Common Data,
TABVAT,Modification,Modification,TVT,Tax code table,Common Data,
TABVATEXE,,,TEX,Tax exemption table,Common Data,
TABWEEDIA,,,TWD,Weekly structures,Common Data,
TABWIPSTO,,,TWS,Blocked stock quantities,Stock,
TABWRKCTR,,,TWC,Work center groups,Manufacturing,
TACONTAINERC,,,TCTRC,Container clobs,Common Data,
TANKS,,,TKS,Tanks,Manufacturing,MWM
TANKSGATES,,,TGT,Gate tank assignments,Manufacturing,MWM
TASK,Modification,,TSK,Task,Common Data,
TASSEDIC,New table,,HRATS,Job center certificate,Human Resources administration,
TASSEDIC2,New table,,HRAT2,Job center certificate,Human Resources administration,
TASSEDIC3,New table,Modification,HRAT3,Job center certificate,Human Resources administration,
TAUTILIS,,,TAU,Safe X3 WAS users,Common Data,TCAYT
TAXLINK,Modification,Modification,TLK,Tax calc. basis calculation (link),Common Data,
TBASKET,,,TBA,Shopping basket,Common Data,TCAYT
TBASKETD,,,TBD,Shopping basket line,Common Data,TCAYT
TCBLOB,,,TBB,Special folders,Common Data,
TCCLOB,,,TBC,Special text files,Common Data,
TCOURLIG,New table,,TCL,Standard program lines,Human Capital management,FRT
TDSPRV,,,TPR,Fee total/service supplier,Financials,DAS
TDUPDCLC,,,TUC,Serial No. - calculation modification,Manufacturing,
TEXCLOB,,,TXC,Text files,Common Data,
TEXCPT,,,TCC,Text counter by table,Common Data,
TGRLIS,,,TGL,Dictionary of targets,CRM activities,
TGRLISFIE,,,TLF,Target inquiry,CRM activities,
TGRLISLNK,,,TLL,Linked tables,CRM activities,
TGRSSP,,,TGP,Presentation support,CRM activities,
TIKRESHEA,New table,,TRH,Tickets restaurant,Human Resources administration,FTRH
TIKRESLIG,New table,Modification,TRL,Tickets restaurant,Human Resources administration,FTRH
TIMANA,New table,New table,TIA,Analytical time,Human Resources administration,
TIMCNG,New table,New table,TIC,Holiday duration,Common Data,FHRPA
TIMCOD,New table,New table,TIM,Nature of events,Common Data,FHRPA
TIMEADJUST,New table,,TAD,Daylight saving time,Common Data,
TIMEMP,New table,New table,TIP,Tracked times,Human Resources administration,
TIMEMPDAT,New table,New table,TID,Time summary,Human Resources administration,
TIMETRANS,New table,,TTR,Change to daylight saving time,Common Data,
TIMEZONEINFO,New table,,TZI,Time zones,Common Data,
TIMRECAP,New table,New table,TIR,Time summary,Human Resources administration,FHRPA
TIMREGUL,New table,New table,TIG,Time adjustment,Human Resources administration,
TITMLINK,,,TIK,Linked WAS items,Common Data,TCAYT
TITMMASTER,,,TIT,Web items,Common Data,TCAYT
TMP2054,,,T54,2054 fiscal statement Temporary table,Fixed Assets,
TMP2055,,,T55,Fiscal statem. 2055 temp. table,Fixed Assets,
TMP2855,,,TVS,Temporary table Fisc. Stmt 2855,Fixed Assets,
TMP28578,New table,New table,TVS2,Fisc. Stmts 2857 2858,Fixed Assets,
TMPAED,New table,New table,HRFTMA,AED print temporary table,Human Resources administration,KFR
TMPARPT,Modification,,TARPT,Temporary print key table,A/P-A/R accounting,
TMPARPTDET,New table,,TARPTD,Temporary print key table,A/P-A/R accounting,
TMPBLA,Modification,,TBL,Temporary print key table,Financials,
TMPCNSBAN,,,TCB,Bank inquiry,A/P-A/R accounting,
TMPCNSESL1,New table,New table,TESL1,EC Sales List,Financials,ESL
TMPCNSESL2,New table,New table,TESL2,EC Sales List,Financials,ESL
TMPCNVECAR,,,TCE,Exch. rate temporary table,Financials,
TMPCPTDTA,,,TCD,Accounting interface -data,Fixed Assets,
TMPCRPT,,,TCRPT,Temporary print key table,Common Data,
TMPCSRQ,Modification,Modification,TCR,Temporary cash requirements,A/P-A/R accounting,
TMPDCH1,New table,Modification,TM1,Temporary tables (charges),Human Resources administration,
TMPDCH2,New table,Modification,TM2,Temporary tables (charges),Human Resources administration,
TMPDEMANDE,New table,,TDM,Temporay request form table,Human Capital management,
TMPDERO,,,TDE,Temporary table,Fixed Assets,
TMPDFD,,,TDF,DFDDPEreport temp table,Fixed Assets,
TMPDUCS,New table,,TDU,DUCS,Human Resources administration,
TMPDUCSEFF,New table,,HRTDE,DUCS,Human Resources administration,
TMPEMPLO,New table,New table,HRTCT,Import employee and contract,Common Data,FHRPA
TMPEMPLOPOR,New table,New table,TCTPO,Contract,Common Data,FPAPH
TMPEXPENSE,Modification,Modification,EXT,Temporary table - Expenses,A/P-A/R accounting,
TMPFAS1PAGE,,,T1PG,Tmp. depr. one page report,Fixed Assets,
TMPFAS246G,Modification,Modification,T246,Tmp. depreciation report,Fixed Assets,
TMPFASLIST,,,TFL,Temporary print key table,Fixed Assets,
TMPFASPHY,,,TPH,Temp table elem assignment,Fixed Assets,PHY
TMPFUP0,,,TF0,Campaign criteria,A/P-A/R accounting,FUP
TMPFUP1,Modification,,TF1,BPs for reminding,A/P-A/R accounting,FUP
TMPFUP2,Modification,,TF2,Open items to remind,A/P-A/R accounting,FUP
TMPFUPCMT,,,TCF,Open item comments,A/P-A/R accounting,FUP
TMPGACCENTRD,New table,,TMPDAE,Accounting entry lines,Financials,
TMPGACCENTRY,New table,,TMPHAE,Accounting entries,Financials,
TMPHISTO,New table,,TMP,Payroll history,Human Resources administration,
TMPHSR,New table,Modification,THR,Payroll history,Human Resources administration,
TMPIPTACPT,Deleted table,,IPT,Temporary allocation table,A/P-A/R accounting,
TMPKRPT,,,TKRPT,Temporary print key table,Stock,
TMPLEARNT,,,TLR,Temporary table,Fixed Assets,
TMPLISLOF,,,TLI,Temporary print key table,Fixed Assets,
TMPLIVRE,New table,,HRTML,Payroll journals,Human Resources administration,
TMPLIVRESTD,New table,,HRTMD,Payroll journals,Human Resources administration,
TMPLOFGRP,,,TLG,Temporary table,Fixed Assets,
TMPLTAVCR,New table,New table,TLTV,Temporary local tax table,Sales,
TMPMASFA2,,,MF2,Temporary table asset actions,Fixed Assets,
TMPMASFAS,Modification,Modification,MFS,Temporary table asset actions,Fixed Assets,
TMPMASLCK,,,TML,Mass action table lock,Fixed Assets,
TMPMASLEA,,,TLE,Contract actions temp table,Fixed Assets,
TMPMASLOF,,,MLF,Temporary table,Fixed Assets,
TMPMASPHY,,,MPY,Temporary table actions elem,Fixed Assets,PHY
TMPMOB,New table,,TMO,Temporary table (mobility),Human Capital management,
TMPMSLIVRE,New table,,TMM,Total payroll journals,Human Resources administration,
TMPODPAY,New table,New table,TOD,Payroll MO,Common Data,FHRPA
TMPODPAYA,New table,New table,TOA,Analytical pay MO,Common Data,FHRPA
TMPODPREP,New table,New table,TOR,Print Pay MO,Common Data,HRPAY
TMPORA,New table,New table,HRTPA,Membership,Human Resources administration,FPAY
TMPORG,New table,New table,HRTPO,Organizations,Common Data,FPAY
TMPPAYDUD,Modification,Modification,TPD,Temporary payment proposal,A/P-A/R accounting,
TMPPAYDUD2,Modification,Modification,TP2,Temporary payment proposal,A/P-A/R accounting,
TMPPAYTOT,,,PYT,Temporary payment proposal,A/P-A/R accounting,
TMPPLNFAS,,,TPF,Temporary table schedule actions,Fixed Assets,
TMPPRPT,,,TPRPT,Temporary print key table,Purchasing,
TMPREEVAL,,,TRV,Temp table report DEPREEVAL,Fixed Assets,
TMPSELCTR,New table,,TMC,Contract selection,Common Data,FHRPA
TMPSELMAT,New table,,TMT,Employee selection,Common Data,FHRPA
TMPSES,New table,,TSE,Temporary table (session),Human Capital management,
TMPSIMDERO,,,TDS,Temporary print key table,Fixed Assets,
TMPSITU,,,TSI,Temp. table Report DEPSITU,Fixed Assets,
TMPSITUCUR,,Deleted table,TSIC,Temp. table Report DEPSITU,Fixed Assets,
TMPSRPT,Modification,Modification,TRPT,Temporary print key table,Sales,
TMPSRPTDET,New table,,TSRPTD,Temporary print key table,Sales,
TMPSUIMAS,New table,,TSM,Temporary table (TP tracking),Human Capital management,MAS
TMPTCHANGE,,,TCG,Currency rates temp. table,Fixed Assets,
TRACKTPLD,New table,,TKTD,Logistical tracking temp. detail,Common Data,
TRACKTPLH,New table,,TKTH,Logistical tracking template,Common Data,
TRADESHOW,,,OMT,Professional trade shows,Common Data,
TRAINER,New table,,HRTRN,Internal trainer,Human Capital management,FRT
TRANNOTED,,,TND,Transport note,Common Data,TRSNE
TRANNOTEH,,,TNH,Transport note,Common Data,TRSNE
TRANSPORT,Modification,,TRNP,Transport,Purchasing,
TRCABX3,,,TAB,Abel X3 logs,Fixed Assets,
TRCVCRDOC,,,TVD,Log file of accounting entries,Common Data,
TRVACC,New table,Modification,WAC,WA rate,Human Resources administration,
TRVACCRAT,New table,Modification,WAR,WA rate,Human Resources administration,
TXSA,,,TXS,Financial data extraction parameters,Financials,TDB
TXSAC,,,TXA,Grid column setup,Financials,TDB
TXSD,,,TXD,Financial data extraction detail,Financials,TDB
TXSM,,,TXM,Amounts,Financials,TDB
TXSP,,,TXP,Value parameters/version,Financials,TDB
TXSV,,,TXX,Fin data extras variables,Financials,TDB
TXSW,,,TXW,Versions,Financials,TDB
TXTBOL,New table,,TXB,Text files,Common Data,
TXTCTR,New table,,HRTXC,Input document text,Common Data,FHRPA
TYPACE,,,TPE,Accounting entry types,Fixed Assets,
TYPACEINT,,,TPI,Accounting entry types,Fixed Assets,
TYPACELEG,,,TPL,Accounting entry types,Fixed Assets,
TYPCOMBEL,,,TYC,Communication types,A/P-A/R accounting,KBE
TYPCOURSE,New table,Modification,TCS,Standard program,Human Capital management,FRT
TYPCOURSESA,New table,New table,TCSSA,Standard program,Human Capital management,FKSSD
TYPWEEK,New table,New table,WTY,Reference weeks,Human Resources administration,
UKAPPLEV,New table,New table,APPLEV,Apprenticeship levy,Common Data,KUK
UKBACRDM,New table,New table,BACRDM,UK BACS random,Common Data,FUKPH
UKBACSER,New table,New table,BACSER,UK BACS serial,Common Data,KUK
UKSMPLVE,New table,New table,SMPLVE,SMP leave,Human Resources administration,FUKPH
UKSPPLVE,New table,New table,SPPLVE,SPP leave,Human Resources administration,FUKPH
UKSSPLVE,New table,New table,SSPLVE,SSP Leave,Human Resources administration,FUKPH
UNFILWRK,Modification,Modification,UNF,Unfilled orders report,Sales,
UNITOFTIME,,,UOT,Unit of time,Common Data,
UNPAID,,,UNP,Doubtful receipt entry,A/P-A/R accounting,
UPORDER,Modification,Modification,UOH,PO history,Purchasing,
UPORDERC,Modification,Modification,UOC,Cumulative PO history before R,Purchasing,
UPORDERP,Modification,Modification,UOP,PO price history,Purchasing,
UPORDERQ,Modification,Modification,UOQ,PO quantity history,Purchasing,
USERGUIDES,,,UGD,User guides,Manufacturing,MWM
USRLEGSOA,New table,New table,USLS,Legislation,Human Resources administration,
VALANA,New table,,VAN,Analytical values,Human Resources administration,
VALCPY,New table,,VCP,Company values,Human Resources administration,
VALEMP,New table,Modification,VEP,Employee values,Human Resources administration,
VALEUR,New table,Modification,VLA,Values,Human Resources administration,
VALFCY,New table,,VFC,Site values,Human Resources administration,
VALFDR,New table,,VFD,Legislation values,Human Resources administration,
VALPRV,New table,,VPR,Provisional values,Human Resources administration,
VALPRVH,New table,,VPH,Provisional values,Human Resources administration,
VARIA,New table,Modification,VRA,Variables,Human Resources administration,
VARTEXT,New table,,VTX,Text of the slip lines,Human Resources administration,
VATBOX,Modification,Modification,VTB,VAT boxes,Financials,DCL
VATBOXD,Modification,Modification,VTD,VAT boxes,Financials,DCL
VATCLS,Modification,Modification,VCL,Tax classification,Common Data,SAFT
VATENTFRM,Modification,Modification,VEF,VAT form (definition),Financials,DCL
VATENTFRMD,Modification,Modification,VEFD,VAT form detail (definition),Financials,DCL
VATEXEREA,Modification,,VER,VAT exemption reasons,Common Data,KPO
VATFRMENT,Modification,Modification,VFE,VAT form (values),Financials,DCL
VATFRMENTA,Modification,Modification,VFEA,VAT form,Financials,DCL
VATFRMENTC,Modification,Modification,VFEC,VAT form by company,Financials,DCL
VATFRMENTD,Modification,Modification,VFED,VAT form detail (values),Financials,DCL
VATFRMENTI,New table,New table,VFEI,VAT return service data,Financials,DCL
VATFRMENTN,Modification,Modification,VFEN,VAT form queries,Financials,DCL
VATGRP,Modification,Modification,VATGH,VAT entity header,Financials,DCL
VATGRPD,Modification,Modification,VATGD,VAT entity details,Financials,DCL
VATHIS,,,VAT,Tax - history,Fixed Assets,
VATLINITMGER,,,VLI,German VAT line items,A/P-A/R accounting,KDEAT
VDGERRSP,,,RSP,Recapitulative statem. param.,Financials,KDEAT
VDGERTRP,,,TRPG,German tax return parameter,Financials,KDEAT
VDSWITRP,Modification,Modification,TRSP,Switzerland,Financials,KSW
VFEPSTTMP,New table,New table,VFEP,VAT posting,Financials,DCL
VPJMSOLITMD,New table,New table,VPSOD,Sold product list,Common Data,PJM
VPJMSOLITMH,New table,New table,VPSOH,Sales document creation,Common Data,PJM
VPJMSOLITMO,New table,New table,VPSOO,Sold product list,Common Data,PJM
VSORDER,Modification,Modification,VOH,Sales order history - header,Sales,
VSORDERC,Modification,Modification,VOC,Cumulative sales order history,Sales,
VSORDERP,Modification,Modification,VOP,Sales order history - price,Sales,
VSORDERQ,Modification,Modification,VOQ,Sales order history - Qties.,Sales,
VSQUOTE,New table,New table,VQH,Sales quote history - header,Sales,
VSQUOTED,New table,New table,VQD,Sales quote history - details,Sales,
VXAMTTPY,New table,New table,VVXAMTP,Material output temporary,Stock,ADC
WAREHOUSE,,,WRH,Warehouses,Common Data,WRH
WARFLYER,,,FLY,Warranty vouchers,Common Data,
WARREQCPN,,,RCW,Warranty request lines,Common Data,
WARREQUEST,,,RQW,Warranty requests,Common Data,
WCUNLISDET,,,WCU,Print stock count,Stock,
WEIGHING,Modification,Modification,WGG,Weighing,Manufacturing,MWM
WEIGHPRT,,,WGP,Label printing,Manufacturing,MWM
WHTDTL,New table,Modification,WDL,WHT detail,Financials,KAU
WHTHDR,New table,Modification,WHR,WHT header,Financials,KAU
WIPCOST,Modification,Modification,MWI,WIP valuation,Common Data,
WIPRESW,Modification,Modification,WRW,WIPCOST summary for print,Common Data,
WIPSCPM,,,MSM,Rejects temporary material,Manufacturing,
WIPSCPO,,,MSO,Rejects temporary operation,Manufacturing,
WIPTMP,,,MWT,Wipcost-interface,Manufacturing,
WIPWSTTMP,New table,New table,WWT,WIPCOST operation detail temp,Common Data,
WORKCOST,,,MWC,Costing dimension,Manufacturing,
WORKLOAD,,,WKL,Production load,Manufacturing,
WORKSTATIO,Modification,Modification,MWS,Work centers,Common Data,
WPOHBLOB,New table,New table,WBB,Temporary PO blob,Stock,
WPOHWKT,New table,New table,WKT,Print POs to receive,Stock,
WRKPURFCS,,,WPF,Purchase cost report,Purchasing,
WRKSTOCNS,,,WCN,Transfer stock inquiry,Stock,
WRKSTOPER,,,WSP,Stock by date inquiry,Stock,
WSTANL,,,WSA,Workstation analysis,Manufacturing,
WSTOALL,,,WSTA,Allocations,Stock,
WSTOLOTFCY,,,WSL,Lots - sites,Stock,
WSTOQLYD,,,WQL,Quality control detail,Stock,
WSTOREO,,,WREO,Reorders,Stock,
